Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
128167968.7500,6.3464,12.5119,-0.4697
128268493.6520,6.6182,12.7318,0.1603
128369018.5550,6.3599,13.1517,-0.0497
128469543.4570,6.2117,13.1715,-0.4897
128570068.3590,6.1434,13.3714,-0.1197
128670593.2620,6.0852,13.0313,0.2403
128771118.1640,6.1569,13.1612,-0.1997
128871643.0660,6.3403,13.0507,-0.3797
128972167.9690,6.1147,13.5301,0.1403
129072692.8710,6.1492,13.5094,0.0703
129173217.7730,5.9437,13.0488,0.2303
129273742.6760,5.6981,13.3081,0.2303
129374267.5780,6.2326,12.9775,-0.0197
129474792.4800,5.9170,13.1168,0.2803
129575317.3830,6.0515,13.3062,-0.3397
129675842.2850,6.4259,13.3955,-0.2697
129776367.1880,5.7504,13.2549,-0.3897
129876892.0900,5.8448,13.2842,-0.4297
129977416.9920,6.7193,12.9836,0.0303
130077941.8950,6.0337,13.1129,-0.4197
130178466.7970,5.7182,13.0823,-0.4897
130278991.6990,6.3217,12.7618,-0.2197
130379516.6020,6.3849,13.1614,-0.3197
130480041.5040,5.9681,13.2409,-0.3697
130580566.4060,6.4213,12.9905,-0.4897
130681091.3090,6.6645,13.1300,-0.1397
130781616.2110,6.2578,13.2696,-0.5397
130882141.1130,6.3210,13.0991,-0.5997
130982666.0160,6.5942,13.2987,0.0203
131083190.9180,6.6374,13.3382,-0.1197
131183715.8200,5.8107,13.5878,0.4103
131284240.7230,6.2139,13.7974,-0.0297
131384765.6250,5.3371,12.0869,-1.1497
131485290.5270,5.8103,12.6765,0.0103
131585815.4300,2.0935,8.6460,-4.6097
131686340.3320,4.1843,11.0163,-2.2297
131786865.2340,-9.3950,-1.9435,-15.6497
131887390.1370,-2.1242,4.7568,-8.7397
131987915.0390,-37.8035,-22.7730,-44.7797
132088439.9410,-21.5028,-13.6527,-27.5897
132188964.8440,-40.8620,-22.9024,-47.1297
132289489.7460,-39.9413,-22.9922,-47.0897
132390014.6480,-40.6106,-22.8819,-47.7297
132490539.5510,-40.4098,-22.9517,-47.3897
132591064.4530,-41.0191,-23.4414,-48.7597
132691589.3550,-40.9984,-23.0212,-48.7197
132792114.2580,-41.1276,-23.0909,-48.3197
132892639.1600,-40.7369,-23.7006,-48.5697
132993164.0620,-40.9265,-22.7903,-47.8997
133093688.9650,-41.0877,-22.6497,-48.1497
133194213.8670,-40.6088,-22.8091,-48.5897
133294738.7700,-40.7499,-23.0685,-48.6197
133395263.6720,-40.3610,-22.9580,-48.5597
133495788.5740,-40.7022,-22.8974,-48.2297
133596313.4770,-40.4033,-22.7968,-48.3897
133696838.3790,-40.3844,-22.9362,-48.8297
133797363.2810,-40.4056,-23.0256,-48.2097
133897888.1840,-40.5067,-22.7950,-48.3197
133998413.0860,-41.3578,-23.1144,-48.8797
134098937.9880,-40.9890,-23.1938,-48.4897
134199462.8910,-40.4701,-22.8532,-47.9997
134299987.7930,-41.1812,-23.0026,-48.3997
134400512.6950,-40.1427,-22.7922,-48.0797
134501037.5980,-40.1245,-22.7919,-48.1797
134601562.5000,-40.3164,-23.0217,-47.8897
134702087.4020,-40.2283,-22.8614,-48.0097
134802612.3050,-40.7102,-22.9412,-48.4697
134903137.2070,-40.5021,-23.1409,-48.1497
135003662.1090,-40.8540,-22.8307,-48.6397
135104187.0120,-41.0359,-22.6504,-48.4897
135204711.9140,-40.6077,-22.9302,-47.7997
135305236.8160,-40.4896,-22.7800,-48.4297
135405761.7190,-40.3615,-22.6097,-47.4497
135506286.6210,-40.7034,-23.1695,-47.4697
135606811.5230,-40.4653,-22.8292,-48.3997
135707336.4260,-40.0872,-22.6890,-48.1397
135807861.3280,-40.7392,-22.9090,-48.0797
135908386.2300,-40.9112,-22.6391,-48.3497
136008911.1330,-40.3733,-23.4393,-48.3597
136109436.0350,-40.3854,-23.1495,-48.0897
136209960.9380,-39.9274,-23.5596,-47.6897
136310485.8400,-39.9795,-23.4598,-48.0797
136411010.7420,-40.5215,-23.1500,-47.4897
136511535.6450,-39.9336,-23.4702,-47.9697
136612060.5470,-40.5757,-23.1503,-48.2497
136712585.4490,-41.0177,-23.0205,-47.6897
136813110.3520,-40.2698,-23.3107,-47.8997
136913635.2540,-40.4119,-23.2709,-48.1497
137014160.1560,-40.0539,-22.7110,-46.8997
137114685.0590,-39.9360,-22.8812,-47.6097
137215209.9610,-40.6272,-22.5914,-47.7897
137315734.8630,-40.2582,-22.4416,-47.1397
137416259.7660,-41.0192,-22.5918,-47.7197
137516784.6680,-41.2402,-22.5020,-47.5897
137617309.5700,-29.1112,-19.8322,-35.2197
137717834.4730,-39.7821,-22.6624,-47.4197
137818359.3750,-6.4931,0.4474,-12.2897
