Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
131686340.3320,-0.4051,7.9250,-11.5697
131786865.2340,-13.5337,-4.8551,-24.2297
131887390.1370,-6.7722,1.4547,-17.4497
131987915.0390,-40.9008,-23.0354,-52.5097
132088439.9410,-25.3593,-15.5656,-35.9597
132188964.8440,-43.0479,-23.3557,-55.3097
132289489.7460,-42.8664,-23.5359,-54.7497
132390014.6480,-43.7350,-23.1160,-55.7497
132490539.5510,-43.5635,-23.2062,-55.6797
132591064.4530,-44.0621,-22.8864,-55.5297
132691589.3550,-43.7206,-22.8665,-55.6097
132792114.2580,-43.1892,-23.1067,-55.3297
132892639.1600,-43.8877,-23.1768,-55.7997
132993164.0620,17.8436,26.5630,7.1603
133093688.9650,2.2546,10.9928,-8.4197
133194213.8670,17.2955,26.0225,6.6103
133294738.7700,22.1665,30.8923,11.4903
133395263.6720,-43.6526,-22.8579,-55.3197
133495788.5740,0.8584,9.5618,-9.8297
133596313.4770,-43.7507,-23.2884,-55.4697
133696838.3790,-43.6998,-22.9586,-55.2797
133797363.2810,-43.3488,-23.7689,-55.3397
133897888.1840,-43.7379,-23.6391,-55.5397
133998413.0860,-43.5769,-23.7993,-55.9397
134098937.9880,-43.3660,-23.7296,-55.5297
134199462.8910,-43.5751,-23.6598,-56.1497
134299987.7930,-43.8441,-23.9200,-56.1797
134400512.6950,-43.2633,-23.2703,-55.5597
134501037.5980,-43.4127,-23.6306,-55.8397
134601562.5000,-43.4120,-23.0909,-55.6097
134702087.4020,-43.5314,-23.0611,-55.3097
134802612.3050,-43.5108,-23.3914,-55.4997
134903137.2070,-43.2102,-23.2317,-55.8097
135003662.1090,-43.8695,-23.2520,-55.4197
135104187.0120,-43.6389,-23.0922,-55.4797
135204711.9140,-43.4483,-23.6125,-55.3497
135305236.8160,-43.6976,-23.4028,-55.2797
135405761.7190,-43.8970,-23.1931,-55.3597
135506286.6210,-43.5364,-23.6434,-55.2897
135606811.5230,-43.8658,-23.4236,-55.6397
135707336.4260,-43.9051,-23.4339,-55.7997
135807861.3280,-43.6150,-23.4441,-55.8697
135908386.2300,-43.5851,-23.4743,-55.5997
136008911.1330,-43.8252,-23.3145,-55.5897
136109436.0350,-44.2554,-23.3247,-55.4597
136209960.9380,-43.4555,-23.3949,-56.0997
136310485.8400,-43.4556,-23.4951,-56.0397
136411010.7420,-43.5658,-23.2553,-55.5797
136511535.6450,-43.3459,-23.3355,-55.6297
136612060.5470,-43.6561,-23.5456,-55.8597
136712585.4490,-43.7862,-23.5358,-55.6397
136813110.3520,-43.3463,-23.1060,-55.6797
136913635.2540,-43.1165,-23.1762,-56.0197
137014160.1560,-43.0866,-23.1864,-55.0397
137114685.0590,-43.4067,-23.3866,-55.1097
137215209.9610,-43.2576,-23.2867,-55.5797
137315734.8630,-43.0986,-23.0367,-55.2697
137416259.7660,-43.0797,-23.3868,-55.1397
137516784.6680,-43.3607,-23.4968,-55.8697
