Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
144654052.7340,7.1947,11.5627,-6.2197
144754577.6370,6.9657,11.5126,-5.7697
144855102.5390,7.2867,11.3225,-5.8997
144955627.4410,7.1877,11.3224,-6.0397
145056152.3440,7.0987,11.3123,-6.0797
145156677.2460,7.1897,11.5922,-5.9297
145257202.1480,6.6907,10.6421,-5.7797
145357727.0510,6.9017,10.8020,-5.9997
145458251.9530,6.7427,10.9719,-5.5197
145558776.8550,6.6911,10.8721,-5.7097
145659301.7580,7.0295,11.2722,-5.2897
145759826.6600,6.7678,11.1524,-5.1797
145860351.5620,7.2562,10.8025,-5.5097
145960876.4650,7.3045,10.8726,-5.5597
146061401.3670,6.7628,10.9628,-5.9497
146161926.2700,7.1812,11.0329,-5.7497
146262451.1720,7.2595,10.8331,-5.5097
146362976.0740,6.7579,10.7932,-5.6097
146463500.9770,7.0762,11.4133,-5.3497
146564025.8790,7.5346,11.2035,-5.1097
146664550.7810,7.0129,10.8236,-6.0197
146765075.6840,6.9112,11.0538,-5.9297
146865600.5860,7.1695,11.1839,-6.6497
146966125.4880,7.0371,11.0739,-6.1997
147066650.3910,6.9048,10.7140,-5.7097
147167175.2930,6.9824,10.9040,-6.1497
147267700.1950,6.4400,10.7640,-6.0397
147368225.0980,6.6377,10.5441,-5.8897
147468750.0000,6.7653,10.8041,-5.8097
147569274.9020,6.5729,10.7941,-5.9197
147669799.8050,7.3406,10.7541,-5.7897
147770324.7070,7.1982,10.7742,-5.9797
147870849.6090,7.1559,11.2142,-5.3797
147971374.5120,7.3335,11.0142,-5.4397
148071899.4140,7.2911,11.2943,-5.2797
148172424.3160,7.2988,11.4843,-5.2597
148272949.2190,7.3567,10.8042,-5.7597
148373474.1210,7.2652,11.0740,-5.5897
148473999.0230,7.3738,10.9337,-5.5197
148574523.9260,7.3123,10.9734,-5.6197
148675048.8280,7.1308,10.9832,-5.6197
148775573.7300,7.1893,11.3729,-5.5497
148876098.6330,6.7478,11.3926,-5.7597
148976623.5350,7.0663,11.0424,-5.8097
149077148.4380,7.1049,11.1921,-5.5597
149177673.3400,6.7834,11.5418,-5.6197
149278198.2420,6.0919,10.4516,-6.1197
149378723.1450,6.6804,10.9013,-5.5797
149479248.0470,4.3189,8.3510,-9.2397
149579772.9490,5.4774,9.7508,-7.5897
149680297.8520,-1.4936,2.5704,-14.6797
149780822.7540,2.1857,6.0401,-11.1597
149881347.6560,-7.0751,-2.8803,-19.9497
149981872.5590,-7.8158,-3.6707,-20.7297
150082397.4610,2.1135,6.7090,-11.0097
150182922.3630,-1.2072,2.9586,-14.2597
150283447.2660,5.7021,9.8982,-7.0697
150383972.1680,4.2613,8.8179,-8.8297
150484497.0700,6.5606,10.8475,-6.3297
150585021.9730,6.3199,10.6071,-6.0897
150685546.8750,6.5492,10.3567,-6.0497
