Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
133093688.9650,4.3055,11.3839,-5.4797
133194213.8670,18.9251,25.9939,9.1403
133294738.7700,23.9248,30.9938,14.1403
133395263.6720,-40.7055,-23.1762,-52.1497
133495788.5740,2.2942,9.3637,-7.4897
133596313.4770,-40.5361,-23.5663,-51.9097
133696838.3790,-40.7365,-23.3364,-52.0397
133797363.2810,-41.1068,-23.3164,-52.7397
133897888.1840,-40.8171,-23.3765,-52.4597
133998413.0860,-41.2374,-22.9165,-52.6397
134098937.9880,-41.0078,-23.2866,-52.5497
134199462.8910,-41.6581,-23.0566,-53.0297
134299987.7930,-41.5384,-22.6767,-53.0197
134400512.6950,-41.0586,-23.2968,-52.5397
134501037.5980,-41.4387,-23.3771,-52.5897
134601562.5000,-41.2788,-23.3474,-52.2197
134702087.4020,-41.0689,-23.1877,-52.4997
134802612.3050,-41.3890,-22.8080,-52.3197
134903137.2070,-41.4091,-23.4283,-52.6297
135003662.1090,-41.2092,-23.2386,-51.8297
135104187.0120,-41.1793,-22.6889,-51.6597
135204711.9140,-41.3794,-22.9092,-52.3397
135305236.8160,-41.2095,-23.2595,-52.1597
135405761.7190,-41.1296,-22.9798,-52.2097
135506286.6210,-41.3697,-23.1102,-52.0697
135606811.5230,-41.2198,-22.6104,-52.2997
135707336.4260,-41.1599,-22.6308,-52.1797
135807861.3280,-40.4500,-23.3010,-52.5197
135908386.2300,-40.9801,-22.9611,-52.6097
136008911.1330,-40.9701,-23.1412,-52.3197
136109436.0350,-40.8002,-23.2213,-52.4397
136209960.9380,-41.4203,-23.0415,-52.2397
136310485.8400,-40.8704,-23.1316,-52.1297
136411010.7420,-41.6704,-22.4917,-52.1097
136511535.6450,-41.3505,-22.8718,-52.0897
136612060.5470,-41.0606,-23.1620,-51.8197
136712585.4490,-41.6906,-22.6021,-51.8297
136813110.3520,-40.4807,-23.0922,-52.5397
136913635.2540,-40.6908,-23.3323,-52.2097
137014160.1560,-40.9208,-23.1425,-52.0897
137114685.0590,-40.3209,-23.0826,-52.2697
137215209.9610,-41.2110,-23.2126,-52.2397
137315734.8630,-41.1910,-23.3125,-52.1697
137416259.7660,-41.3211,-23.5025,-52.3397
137516784.6680,-41.0912,-23.0925,-52.2297
137617309.5700,-31.6713,-21.0724,-41.6997
137717834.4730,-40.8413,-23.4024,-52.3097
137818359.3750,-9.1614,-1.7623,-18.9497
137918884.2770,-15.1415,-7.7523,-24.8297
138019409.1800,-3.2215,4.0178,-13.5597
138119934.0820,-7.2416,0.3278,-17.1597
138220458.9840,1.8183,8.9079,-8.1597
138320983.8870,0.1482,6.7779,-10.7097
138421508.7890,3.7082,10.2479,-6.5997
138522033.6910,2.9181,10.1280,-6.9297
138622558.5940,3.1282,10.3581,-6.6597
138723083.4960,3.4482,10.2381,-6.6197
138823608.3980,2.9683,10.4782,-6.7897
138924133.3010,2.8784,10.5082,-6.7497
139024658.2030,3.2484,10.0983,-6.4497
139125183.1050,3.0785,10.0983,-6.5897
139225708.0080,3.6086,9.8884,-6.3697
139326232.9100,3.4686,10.2185,-6.2397
139426757.8120,2.8387,10.4985,-6.5997
139527282.7150,3.5588,10.2686,-6.6097
139627807.6170,2.3089,9.8486,-6.3497
139728332.5200,2.7289,10.1787,-6.6497
139828857.4220,3.3190,10.0887,-6.3997
139929382.3240,2.4990,10.1888,-6.3097
140029907.2270,3.4788,10.2789,-6.1097
140130432.1290,3.6086,10.2390,-5.9697
140230957.0310,3.2084,10.6491,-6.4597
140331481.9340,3.2981,10.7292,-6.3397
140432006.8360,2.9579,10.0493,-5.9997
140532531.7380,2.9477,10.0094,-6.5897
140633056.6410,3.3075,10.0894,-6.0997
140733581.5430,3.2373,9.9595,-5.9297
140834106.4450,3.6970,9.9996,-6.8697
140934631.3480,3.1468,10.2597,-6.6297
141035156.2500,3.4766,10.5698,-6.2697
141135681.1520,3.5364,10.5699,-6.4797
141236206.0550,3.1262,10.4600,-6.2397
141336730.9570,3.6259,10.1002,-6.0997
141437255.8590,3.8255,10.9205,-6.2997
141537780.7620,3.4252,11.0108,-6.0397
141638305.6640,3.7449,11.1212,-5.9197
141738830.5660,3.7045,10.7115,-6.1697
141839355.4690,3.6942,11.1419,-6.0797
141939880.3710,3.6038,11.1722,-6.4497
142040405.2730,3.4635,10.8325,-6.2197
142140930.1760,3.9531,10.9829,-6.0597
142241455.0780,3.8328,10.9432,-5.8397
142341979.9800,3.2324,11.0036,-5.8997
142442504.8830,3.6921,11.3239,-6.1497
142543029.7850,4.1118,11.1042,-6.1197
142643554.6880,3.4714,11.5046,-6.1197
142744079.5900,3.3011,11.4449,-6.1497
142844604.4920,3.9810,11.4252,-5.9997
142945129.3950,3.8608,11.4255,-6.3697
143045654.2970,3.7506,11.1158,-5.7997
143146179.1990,3.8504,11.1061,-5.7997
143246704.1020,3.5302,10.8164,-6.3097
143347229.0040,3.8300,11.0467,-5.9397
143447753.9060,1.9198,9.1070,-8.5497
143548278.8090,2.8196,10.4573,-7.0697
143648803.7110,-3.0106,4.2676,-12.7997
143749328.6130,0.3992,7.1279,-10.3397
143849853.5160,-12.3510,-4.5917,-21.9797
143950378.4180,-8.4912,-0.9515,-18.1797
144050903.3200,-1.9614,5.3189,-11.1297
144151428.2230,-5.8808,1.3088,-15.4797
144251953.1250,1.9499,9.8887,-7.2997
144352478.0270,0.4207,8.0086,-8.5997
144453002.9300,3.7015,11.2685,-6.2997
144553527.8320,3.2422,10.9984,-6.4297
144654052.7340,3.7130,11.0582,-6.0497
144754577.6370,3.9138,11.1481,-6.0997
144855102.5390,3.3046,10.8480,-6.5197
144955627.4410,3.3653,11.0079,-6.2797
145056152.3440,3.3361,10.5878,-6.2797
145156677.2460,3.5369,10.7477,-6.1697
145257202.1480,3.4476,10.7675,-6.4297
